a team oriented mentality,1
ability for advocacy,1
ability for analytical thinking,1
ability for long working hours,1
ability for multitasking under tight deadlines,1
ability for multitasking,1
ability for results orientation,1
ability for strategic thinking,1
ability of monitoring results assessment,1
ability of training results assessment,1
ability to achieve results,2
ability to adapt to dynamic business environment,9
ability to adapt to rapidly changing situations,1
ability to adapt,1
ability to adhere to deadlines,2
ability to anticipate and prevent problems,2
ability to anticipate problems,1
ability to anticipate,1
ability to appropriately make decisions,3
ability to articulate problems,1
ability to attract the clientele,1
ability to be a member of a team,2
ability to be affirmative,2
ability to be creative,1
ability to be flexible in demanding situations,1
ability to be flexible,2
ability to be part of a big team,1
ability to be part of a multicultural team,1
ability to build and maintain lasting client relationships,1
ability to build partnership,1
ability to carry out numerous tasks,1
ability to clearly articulate problems,1
ability to communicate effectively at all levels,1
ability to communicate on telephone,1
ability to communicate with clients,1
ability to communicate with multinational groups,1
ability to complete assigned tasks according to deadlines,2
ability to complete assigned tasks,1
ability to complete tasks according to deadlines,2
ability to complete work according to deadlines,2
ability to concisely articulate problems,1
ability to contribute to project teams,1
ability to cooperation,1
ability to coordinate efforts,1
ability to coordinate logistics,1
ability to coordinate marketing,1
ability to coordinate project staff,1
ability to coordinate purchases,1
ability to coordinate sales development,1
ability to coordinate,1
ability to cope with stress,1
ability to demonstrate a sense of urgency to achieve goals,1
ability to demonstrate creativity to problem solving,1
ability to epxress thoughts,1
ability to establish connections with new retailers,1
ability to establish connections,1
ability to establish working relationships,2
ability to exchange ideas,1
ability to express thoughts clearly,7
ability to focus on details,1
ability to focus on meet deadlines,1
ability to focus on multiple tasks,2
ability to focus on priorities,2
ability to foster a spirit of unity,1
ability to get along with people,1
ability to get fun solving technical problems,1
ability to grasp a problem,1
ability to handle multiple priorities,25
ability to handle multiple tasks simultaneously,3
ability to handle multiple tasks while adhering to deadlines,1
ability to handle quick turnaround,1
ability to handle simultaneous multiple projects,1
ability to handle tight deadlines,1
ability to identify problems,4
ability to independently manage multiple projects at once,1
ability to lead in a team environment,1
ability to lead people,5
ability to lead project teams,1
ability to lead resultsbased management,1
ability to lead strategic planning,1
ability to learn easily,2
ability to maintain a spirit of unity,1
ability to maintain confidentiality of the information,1
ability to make decisions,12
ability to make trade offs,1
ability to manage a team,1
ability to manage people,5
ability to manage project teams,1
ability to manage time,1
ability to manage,4
ability to meet a schedule,2
ability to meet deadlines under pressure,2
ability to meet tight deadlines,5
ability to motivate others in a team environment,1
ability to motivate others,1
ability to multi task,1
ability to organize and prioritize workload,2
ability to organize project teams,1
ability to organize work,1
ability to organize workload,1
ability to overcome challenges,5
ability to perform multiple tasks at the same time,1
ability to plan work,1
ability to present ideas in a concise manner,1
ability to present ideas in a wellorganized manner,1
ability to present ideas,1
ability to present information in a concise manner,1
ability to present information in a wellorganized manner,1
ability to prevent problems,2
ability to prioritise workload activities,1
ability to prioritize workload,3
ability to prioritize,1
ability to process candidates,1
ability to promptly respond to rapidly changing situations,1
ability to propose alternatives to problem solving,6
ability to propose practical solutions,1
ability to read fluently,1
ability to report,2
ability to respect deadlines,1
ability to respond to rapidly changing situations,1
ability to sell,3
ability to separate joint moments,1
ability to take responsibilities,3
ability to thin creatively,1
ability to undertake multiple tasks,1
ability to work alone,1
ability to work and communicate with multinational groups,1
ability to work as part of a team on multiple tasks,1
ability to work being motivated,1
ability to work being selfdirected,1
ability to work creatively,1
ability to work diplomatically,1
ability to work efficiently without supervision,8
ability to work efficiently,2
ability to work in a flexible schedule,1
ability to work in a multitask environment,2
ability to work in a team environment,2
ability to work in a team while being selfdirected,2
ability to work in international teams,1
ability to work in multidisciplinary teams,1
ability to work in stressful situations,1
ability to work in timely fashion,1
ability to work independently in a fastpaced environment,1
ability to work independently on multiple tasks,1
ability to work under strict deadlines,1
ability to work unsupervised,1
ability to work with continuous quality improvement,1
ability to work with minimum supervision,1
ability to work with multidisciplinary team,1
ability to work with multinational groups,1
ability to work within flexible time frames,1
ability to work within strict time,1
ability to work within tight deadlines,2
ability to work within time frames,1
ability to work without supervision,5
able to adhere to deadlines,1
able to drive important projects successfully,1
able to understand tasks quickly,1
abstract thinking,1
acceptance,1
accuracy in work,6
accurate,1
achiever,1
achieving goals,1
acquiescence,1
active person,1
active personality,1
active thinking,1
advocacy skills,2
affirmative,2
ambitious,1
assertive,4
assertiveness,10
attendance during normal working hours,1
autonomy,1
availability,1
calm,12
challenger,2
character person,1
character,3
client relationships,1
coaching,1
collaborative work habit,1
commitment for diversity,1
commitment to accountability,1
commitment to communitydriven development,2
commitment to meeting deadlines,1
commitment to teamwork,1
commitment to work,1
commitment to gender equity,1
conceptual thinking,7
confident personality,2
conflict management,1
counseling,1
courtesy,1
curious,3
customer development skills,1
customer orientation,1
customer service ethic,1
decision maker,1
decision making abilities,1
delegation skills,2
desire to learn new things,1
detail oriented personality,2
diplomacy skills,1
discipline,3
disciplined mind,2
drive to increase your competencies,2
drive to increase your professionalism,2
dynamic person,1
easy going nature,1
easy to communicate,1
enthusiastic personality,2
enthusiastic to learn,2
enthusiastic to travel,1
ethical,3
flexibility to handle a variety of tasks simultaneously,1
flexibility to perform other duties,1
flexibility to shift priorities simultaneously,1
flexibility to work under pressure,1
flexibility to work within strict time frames,3
forward thinking,1
guest service ethics,1
hard worker,2
hard working person,3
hospitable,1
independent in problems solving,3
independent worker,1
initiative person,1
innovative thinking,7
interact with the team,2
intercultural communication skills,1
judgment skills,1
language skills,2
leadership ability,1
learn quickly,1
learning skills,1
listening skills,2
lobbying skills,2
make decisions,10
memory skills,5
multitask oriented,2
oral skills,1
organized person,2
organized personality,1
outgoing personality,1
outgoing,1
passion,1
people management skills,3
people oriented,1
personal commitment,12
personal integrity,8
persuasive power,1
pleasant disposition,1
pleasant,2
problem solver,2
problem solving,5
problemsolving,1
productive,10
professional attitude,1
progressive thinking,1
prompt,1
public relation skills,1
punctuality in work,5
qualityminded,1
rhetoric,1
rigorous,1
selfconfident,2
selflearner,1
selflearning,2
sensitivity to gender equity,1
sharp,3
skills in training,1
smart,1
sociable personality,4
solution oriented,1
staff management skills,2
strategic planning,2
strategic vision,1
structured personality,1
supervision skills,1
sympathy,1
systematic,2
talent for persuading people,1
talented,1
target oriented personality,1
team builder,2
team building,1
team leader personality,1
team leader,5
team orientated mentality,1
team work approach,3
team working ability,1
teamwork approach,1
teamworker,1
thorough followthrough,1
thorough personality,13
thorough,2
tolerant,1
undertake multiple tasks at the same time,1
unquestioned principles and behavior,2
work ethics,2
works collaboratively,1
young personality,1
polite manners,1
organizational skills,174
ability to take decisions independently,1
personal interest in the environment,1
ability to manage relationships,1
ability to adapt to flexible timelines,1
ability to develop relations,1
work collaboratively,1
ability to establish relations,1
communicator,1
willingness to work long hours when required,1
accountability,3
ability to remain calm under pressure,8
adjust to demanding work,1
persuade through influence,1
ability to direct the work,1
writing skills,18
vigorous,1
ability to motivate team members,5
ability to execute complicated tasks with minimal supervision,2
mentoring skills,4
collaborative,5
organizational,1
communicative,16
independent,4
reliable personality,3
goal oriented,6
ability to meet terms,9
encouraging innovation,1
ability to work on multiple tasks,2
able to work within strict timelines,1
ability to communicate with tact,1
willingness to work under pressure,2
willing to obtain new skills,3
written skills,4
sence of ethics,1
educational skills,1
skilled negotiator,1
friendly,4
loyalty,1
monitoring skills,1
flexible with hours,2
reliable,6
ability to respond to questions,1
sales driven,3
ability to function in a pressured work environment,5
international outlook,2
dedicated person,2
working using own initiative,2
problem solving orientation,1
ability to develop partnership,1
able to include shift work,1
ability to work being self directed,1
communicate easily,1
ability to interact,2
nicelooking,2
discretion,7
self going,3
ability to work in a multicultural environment,6
ability to set goals,3
relationship builder,1
nice,1
work in close cooperation,1
ability to work in a team,60
ability to integrate team members,5
research skills,3
self confidence,3
proposal writing skills,5
team working abilities,1
able to persuade,1
flexibility to handle a variety of tasks and shift priorities simultaneously,3
ability to facilitate a collaborative work environment,1
able to work under time tight constraints,1
ability to coach staff,1
self driven,1
ability to manage ongoing programs,1
imagination,1
team member,4
organized,52
capable of working as a part of a team,1
ability to work as a part a team,1
ability to establish relationship with partners,1
hospitable personality,2
ability to establish and maintain business relationships,1
ability to interact with individuals and groups,2
ability to think conceptually,1
interspersonal skills,1
ability to work independently,70
interest to learn,1
responsible,38
counselling skills,2
analytical thinking,2
public speaking skills,5
ability to work in team,13
ability to express ideas clearly and concisely,2
ability to communicate information in a clear and approachable manner,1
dynamic,15
object oriented skills,1
political awareness,1
diligence,5
willing to learn,2
understanding,2
punctuality at work,3
unquestioned behavior,5
motivation,7
consulting skills,2
comfortable in dealing in an international environment,1
active,7
ability to motivate people,1
creativity thinking,1
initiative thinking,1
ingenuity,1
ability to complete challenging tasks,1
quick to learn,1
versatility,1
sympathy with world visions christian basis,1
leadership,6
ability to manage multiple tasks,11
open to new ideas,3
counting skills,1
ability to work within strict time frames,28
ability to operate efficiently,1
positive attitude,9
ability to troubleshoot problems,1
quick learning skills,3
ability to express ideas concisely,2
ability to work  in a fastpaced environment,1
ability to learn quickly,5
willing to work overtime,1
able to persuade through influence,2
professional,10
analytic skills,2
people skills,5
mature personality,3
ability to work individually,12
ability to provide training,1
warm,1
achieving ambitious goals,1
proactive,22
efficient when under pressure,1
lively and professional personality,1
correct reporting,1
intercultural skills,2
level of motivation,3
interpretation skills,3
reporting skills,11
trouble shooting,2
self starter,5
work in deadline oriented,1
work in team,2
public relations skills,3
timemanagement skills,24
ability to function independently,1
ability to communicate effectively,5
result orientation,1
work in pressure,1
creative thinking skills,1
capability to implement requirements and policies,1
open minded,6
respect for colleagues,4
able to work hard,1
able to easily communicate,1
ability to operate in a multitasking enviroment,1
supervisory skills,4
ability to communicate ideas effectively,1
willingness to work extended hours and weekends,1
able to work independently,8
personable,2
commitment to world vision principles,3
willingness to learn,5
program management skills,2
self starters,1
willingness to obtain new skills,1
presonal initiative,1
self motivated,4
flexibility with working hours when necessary,1
managing skills,4
ability to advocate for others,1
management skill,1
decision making skills,2
ability to work under the pressure,1
ability to balance deadlines,1
presentation,1
ability to lead team members,1
energetic,35
ability to envision what is necessary,1
shift priorities simultaneously,2
honesty and commitment,1
negotiation skills,28
eager to learn,3
ability to work within deadlines,10
followthrough,1
ability to work calmly,1
capable of working as part of a team,3
willing to learn new skills,6
ability to manage multiple tasks under tight deadlines,1
open to change,1
diplomatic manner,1
ability to communicate,5
ability to present proposals,3
proble msolving skills,1
ability to establish relationships,1
ability to work in multicultural environment,10
ability to work collaboratively,5
capability to work independently,1
ethnic sensitivity,1
work irregular hours,2
judgement skills,1
self guided,1
able to understand detailed instructions,1
initiative,41
personal management skills,1
results oriented,2
communiction skills,1
ability to work under deadlines,1
ability to think strategically,4
ready to communicate,1
aggressive,1
manner,1
ability to work effectively with a diverse team,1
organize the department,1
analytical,4
innovation skills,1
telephone skills,1
ability to work cooperatively as part of a team,1
ability to communicate with people,2
ability to complete the tasks to assigned deadlines,2
ability to effectively present information,2
ability to work meet deadlines,1
ability to shift priorities,2
development skills,1
capacity to work under pressure,1
speaking ability,1
personal initiative,9
integrity,8
willingness to work overtime,1
capacity to work for long hours,1
ability to meet goals,2
creative thinking,3
adept at networking,1
willingness to work long or unusual hours,1
team player,60
communicating skills,1
attention to detail,24
diplomacy,11
communication skill,3
demonstrating a sense of urgency to achieve goals,1
service minded approach to work,1
ability to prioritize competing tasks even under pressure,1
willingness to work long hours,2
ability to plan and organize work for others,1
facilitating skills,1
effectiveness,1
honesty,19
self organized,2
meeting deadlines,1
ability to speak politely,2
ability to make sound decisions,1
ability to prepare rapports,1
communications skills,10
ability to work in multitask environment,16
analytical skills,118
ability to organize tasks,1
ability to resolve taxation issues,1
respect for colleagues and stakeholders,1
ability to working with groups of people,1
ability to handle a variety of tasks,2
customer orientation skills,3
problemsolving attitude,1
sensitivity,3
capacity building,1
ability to manage a multinational staff,1
personality skills,1
ability to work according to deadlines,1
ability to learn fast,1
ability to work as a team member,10
confident,3
ability to maintain confidentiality,8
ability to resolve problems,1
capabilities to identify needs,1
ability to organize,5
ability to prioritize multiple projects,1
ability to interact with individuals,2
attractive personality,2
energy,1
enthusiasm,2
nice behaviour,1
working in a team,2
readiness to learn,2
candor,1
self organizational skills,1
team interaction skills,1
quick learner,4
work ethic,5
ability to listen to others opinions,1
flexibility to handle a variety of tasks,2
ability to work cooperatively,4
economic development analytical skills,1
able to communicate,1
commitment to team approaches,1
respectful toward colleagues,1
ability to follow directions,1
crosscultural sensitivity,3
honest,8
action oriented,1
ability to write,2
ability to plan the work,1
leadership skills,44
ability to envision,1
ability to read,2
skill to carry out research works,1
conceptualization,1
proactive approach,3
sociable,9
time management,4
ability to establish positive relationships,2
ability to motivate,2
sense of responsibility,20
team players,1
exemplary character,1
polite,3
work under pressure,12
ability to apply the gained knowledge,1
childfriendly,1
compulsion,2
ability to grow personally within the practice,1
methodical,3
ability to organize the work,1
easy going,2
skills to build a team,1
ability to work with limited time frame,1
willingness to work flexible hours,1
cross cultural understanding,1
managing tasks,1
results orientation,2
commitment to the wellbeing of children,1
problem solving skills,28
public speaking ability,1
patient,2
ability to work as part of a team,34
openness for new experience,1
skillful negotiator,2
ability to work in various settings,1
out of the box thinker,1
able to adapt to flexible timelines,1
able to work under pressure,3
flexible,29
makes timely decisions,1
ability to work as a team,2
responsible person,1
creativity,30
ability to take appropriate decisions,1
self confident,3
respect toward colleagues,1
fiscal reporting skills,1
ability to set priorities,1
training skills,13
motivated,90
diplomatic,3
conceptualization skills,5
collaborative work habits,3
household skills,1
verbal skills,2
ability to complete the tasks in a timely manner,2
ability to lead a diverse team,1
cross cultural communication skills,1
organizational capabilities,1
attentive,5
organization skills,5
ability to work with time limitations,1
ability to balance multiple priorities,2
ability to work in an international environment,2
commitment to world vision christian principles,3
business leader,1
able to work as part of an international team,1
plan the work to carry out a task in time,1
courteous manner,1
detailed oriented,3
administrative skills,9
mature,2
serviceminded approach to work,1
flexible with work hours,2
work with team,2
sense of duty,2
capable of working individually,4
skills in managing tasks,1
willing to work under time pressure,1
human relations capacity,3
dedicated,37
ability to deliever tasks on time,1
ethical standards,1
humor,2
ability to handle a workload,1
flexibility,41
consistent,1
analysis skills,3
teamwork,21
facilitation skills,16
efficient,3
willing to grow in skill,1
dynamic personality,7
trusted,1
ability to summarize information,1
goal oriented leader,1
team oriented,11
ability to learn authoring technologies,1
ability to problem solve independently,1
analitic skills,2
deadline oriented,5
schedule,1
willingness to be a self starter,1
ability to work in a group,3
ability to works with minimal guidance,1
ability to intervene in crisis situation,1
openminded,2
ability to prioritize a workload,1
able to listen to others opinions,1
professional manner,1
intercultural management skills,1
skills in analyzing,1
capability to understand requirements and policies,1
properly maintain relations with customers,1
team work spirit,1
crosscultural communications skills,1
ability to achieve goals,2
ability to manage tasks independently,1
ability to work in a fastpaced environment,4
ability to work under stress,2
attention to details,47
professional presentation,2
analytical mind,2
cheerful personality,1
commitment to improvements,1
critical thinking,2
willingness to listen,6
ability to improve skills,1
hard working,13
ability to interpret,2
self initiative,1
take initiative,1
result oriented,9
innovative,15
ability to prioritise tasks,2
ability to work with children,1
time management skills,14
organizing skills,8
ability to correct reporting,3
interpersonal skills,236
self awareness,1
ability to work overtime,5
ability to respond to immediate staff needs,4
ability to foster and maintain a spirit of unity,2
writing ability,4
ability to work under time pressure,4
ability to win new business,1
sensitivity in working with multiple cultures and beliefs,2
ability to analyze,3
team commitment,1
quickly learn new technologies,1
ability to make recommendations,5
ability to work as part of the psd team,1
unquestioned principles,5
presentation skills,29
ability to work in a tense situation,1
systematic manner,1
ability to analyse problems,2
cooperation skills,2
communicable,1
client oriented,2
skills to lead effective staff,1
work within a team,1
client orientation,1
comfortable working in work environment,1
ability to work in a stressful environment,8
ability to conceptualize,1
responsible work habits,5
willingness to work with youth,1
self motivation,3
details orientation,1
teambased skills,1
sense of alertness,1
creative,36
team building skills,6
ablity to work independently,1
results driven,1
ability to take initiative,4
setting ambitious goals,1
ability to plan,2
willingness to obtain new knowledge,1
desire to learn,3
ability to negotiate,1
ability to work as a part of team,7
positive,1
ability to handle multiple tasks,7
evaluating skills,1
tactful manner,1
coordination skills,4
run the department,1
ability to integrate immediately into the fast moving environment,1
tactful,1
ability to work with multinational staff,6
ability to express ideas clearly,2
responsible personality,2
reasoning skills,1
matured person,1
ambitious personallity,1
ability to interact with groups,2
team worker,15
ability to juggle multiple projects simultaneously,1
willingness to travel,8
dedication,7
self organisational skills,1
ability to lead and supervise,1
attentive to details,5
able to work in a team,1
ability to work in a crosscultural environment,1
sound judgment,3
goals oriented,1
organisational skills,40
critical thinking skills,1
tolerance,3
willingness to listen and respect colleagues,1
professional ethics,3
sence of responsibility,1
ability to take direction,1
marketing skills,4
project management skills,3
managerial ability,1
professionalism,11
ability to listen,1
ability to work as a member of a team,2
willingness to be flexible with hours,2
ability to work in cooperation,1
ability to understand directions,1
commitment,17
sense of organisating,1
work under stress,1
ability to communicate with diplomacy,1
ability to set and meet goals,2
problemsolving skills,29
ability to articulate a clear vision,1
detail oriented,15
influencing skills,3
able to work as part of a team,1
ability to complete tasks in a timely manner,1
ability to develop innovative approaches,1
teambuilding skills,1
courteous,3
willing to perform other duties,2
meticulousness,1
client skills,1
ability to think creatively,11
innovativeness,5
ability to work effectively with people,1
recruiting skills,1
wellorganized,8
innovation,3
ability to promote collaboration within the team,1
creative imagination,1
ability to prioritize work,1
ability to complete multiple tasks,3
ability to perform under deadlines,1
team work ability,3
ability to foster and maintain a spirit of unity teamwork and cooperation,1
open to innovations,3
listen skills,1
ability to meet deadlines,13
ability to perform several activities at the same time,1
inspired,2
ability to demonstrate initiative,1
manage multiple tasks,1
ability to maintain relationship with partners,1
analytical abilities,3
cooking skills,1
editing skills,3
logical abilities,3
maturity,5
ability to deal with confidential information,1
knowledge of business ethics,1
social skills,3
respectful,1
teamwork skills,9
team work skills,4
ability to work with others,1
deal tactfully with the public,1
ability to articulate in clear concise understandable terms,1
capacity building skills,3
punctual,2
managerial skills,17
skill to describe problems,1
willing to work irregular hours,1
management skills,31
physical capabilities,1
accuracy,16
scheduling skills,1
constructive feedback,1
team working,2
leader,3
ability to train staff,1
computer skills,2
well organized,2
dedication to quality,1
ability to work as a part of a team,17
manages time effectively,1
dedication to responsibilities,1
commitment to human rights,1
team work,12
comfortable in working in an international environment,1
conceptual skills,2
ability to work in teamworkbased environment,1
hardworking,2
committed to world vision principles,1
empathy,1
eye for matching colors together,1
ability to think analytically,1
ability to handle multiple tasks under tight deadlines,1
ambitious personality,4
originality,1
lively personality,1
ability to handle confidential information,2
able to work unusual work hours,1
ability to nurture relations,1
punctuality,13
ability to perform multiple tasks,1
ability to work as a self starter,2
makes quick decisions,1
ability to travel,14
ability to complete multiple challenging tasks,1
competency of business ethics,1
creative approach,1
organizer,1
coordinate,1
self directed,12
ability to learn,3
representational skills,1
ability to exercise judgment,1
initiative driven,1
goaloriented,1
cultural sensitivity,2
technical ability,1
capability to adjust to a fast paced environment,1
friendly personality,4
dedication to work hard under pressure,1
ability to work within time limits,1
ability to function as part of a team,1
responsable,1
competitive,2
growth orientation,1
ability to think critically,7
ability to work in a professional team environment,1
ability to effectively respond to questions,1
internationalist perspective,1
ability to collect information,1
patience,9
quick to learn new technologies,1
playfulness,1
team management skills,4
ability to educate others,1
speak convincingly in public,1
communication skills,424
growth oriented,1
enthusiastic,16
ability to keep within time limits,3
able to deal with complex issues,1
collegial,1
committed,9
judgment,4
coordinating skills,1
ability to resolve difficult problems,1
motivating,1
disciplined,2
able to multitask,2
analytical thinking skills,1
ability to prioritize tasks,5
ability to carry out a task in time,1
ability to maintain relationships,1
ability to work tactfully,2
articulate,1
willingness to adjust to demanding work schedule,1
practical life skills,1
organising skills,2
driven,1
responsibility,18
team spirit,5
respect for diversity,2
ability to work under pressure,153
planning skills,17
ability to maintain positive relationships,1
coaching skills,3
grace under the demands of changing tasks,2
willing to travel,2
team based management style,1
tact,4
team working skills,5
diligent,1
ability to work with people,3
ability to handle confidential issues,10
ability to work in a team while being self directed,1
ability to work effectively with people,1
child friendly,1
capable of being a team leader,1
ability to deliver under pressure,1
willing to work hard,1
hardworker,1
problem solving abilities,1
propose alternatives to problem solving,1
ability to work in teamwork based environment,1
ability to work in team work based environment,1
service mentality,1
ability to work on many tasks at the same time without supervision,1
willing to complete the given tasks,1
prioritization skills,1
sense of organization,1
negotiator,1
ability to work and meet deadlines,1
ability to work within required deadlines,1
ability to work within short deadline,1
ability to work within strict deadlines,1
ability to responsibly complete work according to deadlines,1
ability to carry out task in time,1
ability to take responsibility,1
customer service ethics,1
ability to work in a cross cultural environment,1
conflict management skills,1
skills to communicate,1
communication abilities,1
self guide,1
skills to manage relationships,1
ability to shift priorities simultaneously,1
professional personality,1
sense of ethics,1
strategic thinking,1
sensitivity in working with multiple cultures,1
team based skills,1
quality minded,1
ability to organize a workload,1
ability to analyze problems,1
public speaking,1
nice behavior,1
nice looking,1
accuracy at work,1
lively,1 
counseling skills,1
practical,1
detailed,1
crosscultural communication skills,1
communication abilities in an international environment,1
rigorous in the work,1
rhetoric skills,1
self criticism,1
self learning,1
forward thinker,1
team management,1
personal management,1
staff management,1
people management,1
project management,1
crosscultural communications,1
intercultural communication,1
cross cultural communication,1
crosscultural communication,1
be creative,1
ability to persuade,1
multitasking skills,1
able to prioritize,1
team interaction,1
quick learning,1
proposal writing,1
